,,,,,,,,,"Normalized abundance",,"Raw abundance",
"Cre13.g575900.t1.2|PACid:30784528|","4","4","166.34",,"1.07915741378314","Condition 1","Condition 2","C2H2 zinc-finger protein SERRATE (SE)","1894.60221777931","1755.63100765579","1894.60221777931","1991.35505674686"
"Cre17.g745697.t1.1|PACid:30781835|","4","4","311.46",,"1.60860829175341","Condition 1","Condition 2","Pleckstrin homology (PH) domain-containing protein / lipid-binding START domain-containing protein","8402.70856270113","5223.58899041982","8402.70856270113","5924.94681688784"
"Cre07.g353550.t1.2|PACid:30774243|","4","4","230.76",,"1.57263489486411","Condition 1","Condition 2","Translation initiation factor SUI1 family protein","12573.9587719943","7995.47232040838","12573.9587719943","9069.00377522067"
"Cre13.g589800.t1.2|PACid:30784045|","4","4","147.49",,"1.40742231646353","Condition 1","Condition 2","Na+/H+ antiporter 6","1780.3939794223","1265.00337432189","1780.3939794223","1434.85211600435"
"Cre06.g282500.t1.2|PACid:30779252|","4","4","153.65",,"3.02653882113093","Condition 2","Condition 1","ribosomal protein L23AA","214.572517845247","649.412055206448","214.572517845247","736.60693756742"
"Cre16.g688050.t1.1|PACid:30777898|","4","4","196.78",,"1.0613218424677","Condition 1","Condition 2","eukaryotic translation initiation factor 4B1","3956.04602522093","3727.47065680158","3956.04602522093","4227.94853185499"
"Cre02.g142800.t1.2|PACid:30785747|","4","4","213.44",,"2.35222982785306","Condition 2","Condition 1","Thioredoxin z","7681.14864804301","18067.8269621","7681.14864804301","20493.7475064574"
"Cre18.g749447.t1.1|PACid:30783852|","4","3","261.07",,"1.18455236194241","Condition 2","Condition 1","aspartate kinase-homoserine dehydrogenase ii","2499.04426800673","2960.24879026602","2499.04426800673","3357.71376332445"
"Cre11.g468450.t1.2|PACid:30775984|","4","4","272.38",,"1.36351077157567","Condition 2","Condition 1","centrin2","13108.3978692452","17873.4416928154","13108.3978692452","20273.2626282234"
"Cre14.g626700.t1.2|PACid:30776503|","4","4","395.76",,"1.3112998261265","Condition 2","Condition 1","2Fe-2S ferredoxin-like superfamily protein","35128.958581106","46064.5972794092","35128.958581106","52249.5719939712"
"Cre10.g441000.t1.2|PACid:30790298|","4","4","285.1",,"1.16294382762068","Condition 1","Condition 2","Transcription elongation factor (TFIIS) family protein","10130.4899694684","8711.07419710452","10130.4899694684","9880.68767096091"
"Cre10.g452350.t1.1|PACid:30790406|","4","4","208.75",,"1.11991064909068","Condition 2","Condition 1","None","37011.1644561212","41449.1972096565","37011.1644561212","47014.4740561169"
"Cre14.g629500.t1.2|PACid:30776240|","4","4","265.26",,"1.07543682383531","Condition 1","Condition 2","None","4262.74309433101","3963.73175983398","4262.74309433101","4495.93180407138"
"Cre11.g477250.t1.1|PACid:30775687|","4","3","182.26",,"1.67956139972471","Condition 1","Condition 2","None","1054.86266037593","628.058408908916","1054.86266037593","712.386192234747"
"Cre12.g547300.t1.1|PACid:30793076|","4","4","152.36",,"1.11193388800984","Condition 1","Condition 2","ABC-2 type transporter family protein","5857.37983631543","5267.74109457091","5857.37983631543","5975.02711023187"
"Cre08.g382500.t1.2|PACid:30773860|","4","4","174.17",,"1.62380864106612","Condition 2","Condition 1","Ribosomal protein S25 family protein","684.070511760201","1110.79960809474","684.070511760201","1259.94380764866"
"gi|41179009|ref|NP_958364.1|","4","4","235.03",,"1.27790221505927","Condition 2","Condition 1","ATP-dependent Clp protease proteolytic subunit (chloroplast) [Chlamydomonas reinhardtii]","1966.59556784957","2513.1168322807","1966.59556784957","2850.54655012053"
"Cre09.g406416.t1.1|PACid:30780891|","4","2","281.6",,"1.09179569399384","Condition 1","Condition 2","None","1052.48781183731","963.997035001353","1052.48781183731","1093.43043154732"
"Cre07.g344400.t1.2|PACid:30774785|","4","2","165.87",,"1.3530730702738","Condition 1","Condition 2","D-3-phosphoglycerate dehydrogenase","543.382290635796","401.591238916491","543.382290635796","455.511859197229"
"Cre13.g577100.t1.2|PACid:30784200|","4","4","316.01",,"1.01237334405549","Condition 1","Condition 2","acyl carrier protein 1","3162.05997016962","3123.41290763608","3162.05997016962","3542.78550606974"
"Cre02.g099850.t1.1|PACid:30785418|","4","4","170.76",,"2.4813078115787","Condition 2","Condition 1","pyruvate dehydrogenase E1 alpha","179.849004084222","446.26073873883","179.849004084222","506.179017595361"
"Cre07.g357850.t1.2|PACid:30774301|","4","4","179.55",,"1.21886854742123","Condition 1","Condition 2","Ribosomal L22e protein family","40174.7345643264","32960.6786960944","40174.7345643264","37386.2240465424"
"Cre17.g702250.t1.1|PACid:30781706|","4","3","147.11",,"1.3548259640225","Condition 1","Condition 2","ankyrin-like1","1215.11221773581","896.876979038785","1215.11221773581","1017.29833871726"
"Cre09.g410600.t1.1|PACid:30780454|","4","4","232.48",,"1.06637409958142","Condition 1","Condition 2","Protein phosphatase 2C family protein","1830.70079291235","1716.75286715137","1830.70079291235","1947.25684855118"
"Cre05.g236050.t1.1|PACid:30783330|","4","3","120.41",,"1.16707307350855","Condition 1","Condition 2","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","653.082302699825","559.589898459809","653.082302699825","634.724591410774"
"Cre01.g006950.t1.1|PACid:30788755|","4","4","203.9",,"1.25528753230736","Condition 2","Condition 1","Aldolase superfamily protein","1954.53798773459","2453.50716742435","1954.53798773459","2782.93324924749"
"Cre06.g278135.t1.1|PACid:30779568|","4","3","132.7",,"2.89936764317468","Condition 2","Condition 1","Translation protein SH3-like family protein","136.430402808786","395.561895449083","136.430402808786","448.672971327095"
"Cre06.g280050.t1.2|PACid:30780017|","4","4","204.69",,"1.11325396309715","Condition 1","Condition 2","exoribonuclease 4","3451.14164439768","3100.04882874737","3451.14164439768","3516.2843925451"
"Cre10.g436350.t1.1|PACid:30790792|","4","4","155.14",,"1.1054847573521","Condition 1","Condition 2","shikimate kinase 1","7630.00211688508","6901.95144360086","7630.00211688508","7828.65866956173"
"Cre10.g439900.t1.2|PACid:30790516|","4","4","361.45",,"1.00288937093161","Condition 1","Condition 2","heat shock protein 70 (Hsp 70) family protein","5070.93055293205","5056.32096611166","5070.93055293205","5735.22014620044"
"Cre06.g306700.t1.1|PACid:30779766|","4","3","97.87",,"1.08543581898569","Condition 1","Condition 2","Calcium-binding EF-hand family protein","749.841918421312","690.821055750694","749.841918421312","783.575817855496"
"Cre03.g190100.t1.1|PACid:30786844|","4","4","349.16",,"1.88023301565915","Condition 2","Condition 1","eukaryotic translation initiation factor 3B-2","4628.41487303959","8702.4984544569","4628.41487303959","9870.96048545767"
"Cre17.g701500.t1.2|PACid:30782290|","4","4","333.15",,"1.05318881504656","Condition 2","Condition 1","DNAJ homologue 2","10434.719763686","10989.7301432593","10434.719763686","12465.2928762543"
"Cre03.g181150.t1.1|PACid:30787553|","4","4","349.46",,"1.12391114903206","Condition 2","Condition 1","Dynein light chain type 1 family protein","21577.0626404562","24250.7012649719","21577.0626404562","27506.7804015042"
"Cre01.g061077.t1.1|PACid:30788304|","4","4","109.23",,"1.0829062067326","Condition 1","Condition 2","ACT domain-containing protein","7837.50155628633","7237.47034374663","7837.50155628633","8209.22682740691"
"Cre12.g540200.t1.2|PACid:30792196|","4","4","285.32",,"1.36080706087046","Condition 1","Condition 2","DEA(D/H)-box RNA helicase family protein","8250.53246620871","6062.97005905535","8250.53246620871","6877.02941754596"
"Cre11.g477400.t1.1|PACid:30775897|","4","4","128.93",,"1.39739025932545","Condition 1","Condition 2","response regulator 11","706.864381818212","505.846077787483","706.864381818212","573.764726497225"
"Cre12.g558600.t1.2|PACid:30792900|","4","4","156.67",,"1.08362661406134","Condition 1","Condition 2","None","3119.62559913287","2878.87502821731","3119.62559913287","3265.41415604048"
"Cre17.g700750.t1.2|PACid:30781974|","4","4","105.33",,"1.41714943003062","Condition 1","Condition 2","None","1563.38950623576","1103.19312353813","1563.38950623576","1251.31602002141"
"Cre12.g494100.t1.1|PACid:30793549|","4","4","270.34",,"1.20526801894949","Condition 2","Condition 1","splicing factor, putative","733.582958812321","884.164079502832","733.582958812321","1002.87851093657"
"Cre16.g676314.t1.1|PACid:30777467|","4","4","223.37",,"1.29038333077322","Condition 2","Condition 1","translation initiation factor 3 subunit H1","1086.24233219687","1401.66899864707","1086.24233219687","1589.86748136109"
"Cre07.g319300.t1.1|PACid:30774224|","4","4","196.19",,"1.28013880963153","Condition 1","Condition 2","phosphoglucan, water dikinase","3617.54764708226","2825.90264420116","3617.54764708226","3205.32930659404"
"Cre06.g273450.t1.1|PACid:30779405|","4","4","108.22",,"1.60738435635561","Condition 1","Condition 2","None","1129.57819621916","702.743056912805","1129.57819621916","797.098555376754"
"Cre08.g384864.t1.2|PACid:30774180|","4","4","227.08",,"1.31052412245589","Condition 1","Condition 2","SH3 domain-containing protein","3226.30927797309","2461.84654115871","3226.30927797309","2792.39232919287"
"Cre17.g706600.t1.2|PACid:30782684|","4","4","289.46",,"1.12937875821088","Condition 1","Condition 2","None","10834.9155734388","9593.69520160186","10834.9155734388","10881.8159221893"
"Cre03.g189400.t1.2|PACid:30786696|","4","4","132.85",,"1.19518111297237","Condition 1","Condition 2","seryl-tRNA synthetase / serine--tRNA ligase","1810.40397172262","1514.75282873255","1810.40397172262","1718.13478576336"
"Cre08.g382800.t1.2|PACid:30773557|","4","4","214.2",,"1.24263550804115","Condition 1","Condition 2","calcium-dependent protein kinase 17","9704.76154345752","7809.82152904661","9704.76154345752","8858.42613074117"
"Cre04.g231418.t1.1|PACid:30790963|","4","3","102.85",,"1.20559061170731","Condition 1","Condition 2","None","898.496781044479","745.275197334245","898.496781044479","845.341376637693"
"Cre01.g001550.t1.1|PACid:30789252|","4","4","175.45",,"1.08082469941755","Condition 2","Condition 1","Translation initiation factor 3 protein","933.287094058799","1008.71974290638","933.287094058799","1144.15794214023"
"Cre15.g641000.t1.2|PACid:30783605|","4","4","237.64",,"1.09137369172854","Condition 2","Condition 1","NUP50 (Nucleoporin 50 kDa) protein","4894.79895980873","5342.05481103546","4894.79895980873","6059.31873781308"
"Cre07.g356400.t1.2|PACid:30774471|","4","4","184.86",,"1.57313907237953","Condition 1","Condition 2","Found in basal body proteome (PMID:15964273). Encodes homolog of C. elegans UNC-119 gene product, called HRG4 in mammals. Mutations in mammalian gene involved in cone-rod dystrophy. GMP phosphodiesterase, delta subunit (rod-specific). Previously ann","2430.26420772271","1544.85019817522","2430.26420772271","1752.2732514051"
"Cre16.g670300.t1.2|PACid:30778243|","4","3","71.87",,"1.0395259886421","Condition 2","Condition 1","Tetratricopeptide repeat (TPR)-like superfamily protein","4190.45494991597","4356.08682467157","4190.45494991597","4940.96737190852"
"Cre13.g592450.t1.2|PACid:30784750|","4","4","270.7",,"2.47636827668367","Condition 2","Condition 1","Coatomer epsilon subunit","348.593572371213","863.246064075904","348.593572371213","979.151887508366"
"Cre16.g659400.t1.1|PACid:30777813|","4","4","173.36",,"1.30605507450362","Condition 1","Condition 2","ACT-like protein tyrosine kinase family protein","1854.08084106948","1419.60387219823","1854.08084106948","1610.2104241449"
"Cre08.g378500.t1.1|PACid:30773662|","4","4","153.7",,"1.33374313580551","Condition 1","Condition 2","None","1190.67856873534","892.73454293449","1190.67856873534","1012.59970839712"
"Cre05.g232200.t1.2|PACid:30783267|","4","4","130.93",,"1.18807549366637","Condition 1","Condition 2","NAD(P)H dehydrogenase B2","3348.48733403206","2818.41293072944","3348.48733403206","3196.83396860418"
"Cre09.g401515.t1.1|PACid:30780705|","4","4","247.56",,"1.08180160351843","Condition 1","Condition 2","FAD/NAD(P)-binding oxidoreductase","1925.64314067743","1780.03354257795","1925.64314067743","2019.03405711926"
"Cre13.g565250.t1.2|PACid:30784617|","4","4","126.67",,"1.19927696359813","Condition 1","Condition 2","Adenine nucleotide alpha hydrolases-like superfamily protein","814.001940321585","678.743914065834","814.001940321585","769.877109493477"
"Cre16.g665364.t1.1|PACid:30778178|","4","3","125.25",,"1.33040639368506","Condition 1","Condition 2","phosphoenolpyruvate carboxylase-related kinase 1","2820.0866818082","2119.71822684714","2820.0866818082","2404.32732818202"
"Cre12.g496700.t1.2|PACid:30792698|","4","4","162.03",,"1.22472327055376","Condition 1","Condition 2","thioredoxin F-type 1","5872.36650220411","4794.85173785332","5872.36650220411","5438.64411877473"
"Cre12.g553250.t1.2|PACid:30791938|","4","4","214.33",,"1.05553774970587","Condition 1","Condition 2","phosphofructokinase 5","5469.47079825928","5181.69132253524","5469.47079825928","5877.42365715551"
"Cre03.g172000.t1.2|PACid:30786866|","4","4","235.07",,"1.53421711354028","Condition 2","Condition 1","NAD(P)-binding Rossmann-fold superfamily protein","5933.79889040831","9103.73580597075","5933.79889040831","10326.0709417031"
"Cre12.g546700.t1.1|PACid:30793144|","4","4","249.17",,"1.13435795536542","Condition 2","Condition 1","EMBRYO DEFECTIVE 140","1799.91931930387","2041.75279886827","1799.91931930387","2315.89368319618"
"Cre14.g632600.t1.1|PACid:30776130|","4","4","282.16",,"1.42125139011451","Condition 1","Condition 2","None","1459.55027582382","1026.94729868037","1459.55027582382","1164.83286483434"
"Cre07.g352850.t1.2|PACid:30774554|","4","4","261.73",,"1.07855277173188","Condition 2","Condition 1","Chloroplast ribosomal protein L32, imported to chloroplast; Chloroplast large ribosomal subunit protein L32","4408.43014125514","4754.72454783709","4408.43014125514","5393.12915440954"
"Cre06.g279850.t1.2|PACid:30779699|","4","4","329.97",,"1.10438558290148","Condition 2","Condition 1","NAD(P)-binding Rossmann-fold superfamily protein","2233.10101707602","2466.20456842139","2233.10101707602","2797.3354975404"
"Cre14.g612633.t1.1|PACid:30776147|","4","4","348.28",,"1.57048615788237","Condition 2","Condition 1","None","14876.8168608779","23363.8349533598","14876.8168608779","26500.8368367199"
"Cre12.g553100.t2.1|PACid:30792586|;Cre12.g553100.t1.1|PACid:30792585|","4","3","176.74",,"1.15989208311622","Condition 1","Condition 2","Transducin/WD40 repeat-like superfamily protein","916.107413262448","789.82124854339","916.107413262448","895.868511295609"
"Cre01.g051500.t1.2|PACid:30788842|","4","4","238.03",,"1.08243071243959","Condition 2","Condition 1","Present in thylakoid proteome based on mass spectrometric peptide identification [PMID: 17078018]; described as reduced in the non-photosynthetic mutant cen [PMID: 8879236]; similarity to PSBQ is limited to transit peptide. Previously annotated as U","1842.91235794685","1994.82493657614","1842.91235794685","2262.66493782187"
"Cre07.g316900.t1.1|PACid:30774275|","4","4","126.75",,"1.07260925001097","Condition 1","Condition 2","None","1117.3690506855","1041.72982908181","1117.3690506855","1181.60020748097"
"Cre03.g151700.t1.2|PACid:30786836|","4","4","188.44",,"1.52779084813194","Condition 1","Condition 2","Conserved expressed protein","3332.63763514114","2181.34415402215","3332.63763514114","2474.22760971699"
"Cre10.g459950.t1.1|PACid:30789902|","4","4","157.31",,"1.14704268160507","Condition 1","Condition 2","None","471.54564168142","411.096857373764","471.54564168142","466.293772537704"
"Cre07.g345350.t1.1|PACid:30775183|","4","4","140.56",,"1.29972697030386","Condition 1","Condition 2","myb domain protein r1","580.920821080757","446.95604104064","580.920821080757","506.967676344631"
"Cre08.g365450.t1.2|PACid:30773915|","4","2","200.86",,"1.54067857334749","Condition 1","Condition 2","None","1257.35749168064","816.1063011013","1257.35749168064","925.682790093261"
"Cre07.g325550.t1.1|PACid:30774669|","4","4","170.53",,"1.22014136870977","Condition 1","Condition 2","diacylglycerol kinase 4","1167.54516259202","956.893350666923","1167.54516259202","1085.37295383178"
"Cre02.g076350.t1.2|PACid:30785110|","4","4","260.43",,"1.37190011858042","Condition 1","Condition 2","ATPase, V1 complex, subunit B protein","3177.27504190383","2315.96673757236","3177.27504190383","2626.92562048122"
"Cre09.g409350.t1.2|PACid:30781351|","4","4","222.39",,"1.01388705716943","Condition 1","Condition 2","RNAse l inhibitor protein 2","1468.655013751","1448.53906888918","1468.655013751","1643.03067509583"
"Cre11.g467400.t1.2|PACid:30775789|","4","4","257.71",,"1.40214703535068","Condition 1","Condition 2","None","8466.02981751834","6037.90444516467","8466.02981751834","6848.59830830147"
"Cre03.g145747.t1.1|PACid:30787154|","4","4","349.86",,"1.15335319796592","Condition 2","Condition 1","chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative","2359.31490302646","2721.12338841422","2359.31490302646","3086.48161027082"
"Cre07.g325751.t1.1|PACid:30774636|","4","4","107.32",,"1.019194005994","Condition 2","Condition 1","Similar to Flagellar Associated Protein FAP258 that is found in the flagellar proteome [PMID: 15998802]. Overlaps with FAP258 gene models from v3","489.804653671096","499.205967129547","489.804653671096","566.233065300552"
"Cre01.g031100.t1.2|PACid:30788807|","4","4","356.19",,"1.21347098531897","Condition 2","Condition 1","protein containing PDZ domain, a K-box domain, and a TPR region","1298.3884648505","1575.55672976891","1298.3884648505","1787.10266982936"
"Cre03.g161800.t1.2|PACid:30788217|","4","4","226.04",,"1.42889920470946","Condition 2","Condition 1","ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding","627.89425021971","897.197594780587","627.89425021971","1017.66200270811"
"Cre08.g375950.t1.1|PACid:30774062|","4","4","158.41",,"1.19555078436539","Condition 2","Condition 1","Nuclear transport factor 2 (NTF2) family protein","3584.58821383489","4285.55725067724","3584.58821383489","4860.96797385087"
"Cre07.g326150.t1.1|PACid:30775331|","4","4","123.3",,"1.07022230218446","Condition 1","Condition 2","CCCH-type zinc finger protein with ARM repeat domain","1230.032672152","1149.32446244238","1230.032672152","1303.64129486612"
"Cre13.g587050.t1.2|PACid:30784599|","4","4","176.37",,"1.02527318864773","Condition 1","Condition 2","eukaryotic release factor 1-3","2174.51339889331","2120.91120978337","2174.51339889331","2405.68048986139"
"Cre01.g004400.t1.2|PACid:30788372|","4","4","355.2",,"1.22319732351404","Condition 1","Condition 2","None","23219.9035136658","18982.9580782264","23219.9035136658","21531.7509181869"
"Cre16.g683550.t1.2|PACid:30776793|","4","4","174.7",,"1.39451331952267","Condition 1","Condition 2","P450 reductase 1","6031.39589443527","4325.09020171982","6031.39589443527","4905.80891230746"
"Cre06.g282000.t1.1|PACid:30779862|","4","4","389.41",,"1.34505032089624","Condition 2","Condition 1","starch synthase 3","4195.90063725617","5643.69749859015","4195.90063725617","6401.46221134105"
"Cre06.g305900.t1.1|PACid:30778816|","4","4","172.12",,"1.1916808120311","Condition 1","Condition 2","golgi nucleotide sugar transporter 4","1441.3348074019","1209.49736947202","1441.3348074019","1371.89346298693"
"Cre10.g451900.t1.1|PACid:30790227|","4","4","209.46",,"1.0452128958046","Condition 2","Condition 1","Pyridoxal-5\'-phosphate-dependent enzyme family protein","1255.72748227768","1312.50255809287","1255.72748227768","1488.7288927195"
"Cre03.g180800.t1.1|PACid:30788010|","4","4","207.92",,"1.03517952141533","Condition 1","Condition 2","SIN3-like 4","987.449618565356","953.892149272124","987.449618565356","1081.96878886329"
"Cre13.g589870.t1.1|PACid:30784031|","4","4","179.06",,"1.15882695617986","Condition 1","Condition 2","None","765.64899343187","660.710375564508","765.64899343187","749.42225427102"
"Cre02.g084750.t1.1|PACid:30784876|","4","4","208.79",,"1.31668222747931","Condition 1","Condition 2","RNA-binding (RRM/RBD/RNP motifs) family protein","11499.4754902247","8733.67563579833","11499.4754902247","9906.32374655789"
"Cre13.g575300.t1.1|PACid:30784260|","4","4","177.35",,"1.18020252672402","Condition 1","Condition 2","Protein kinase family protein with ARM repeat domain","2158.61570995774","1829.02142732196","2158.61570995774","2074.59941884898"
"Cre02.g075700.t1.2|PACid:30785746|","4","4","280.61",,"1.17994748983563","Condition 2","Condition 1","Ribosomal protein L19e family protein","1704.94981055814","2011.75124926382","1704.94981055814","2281.8639028753"
"Cre03.g180450.t1.2|PACid:30788227|","4","4","245.78",,"1.21916930445886","Condition 1","Condition 2","5'-nucleotidase and conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]. Previously annotated as FAP215","1832.63657804442","1503.18464493974","1832.63657804442","1705.01337175737"
"Cre13.g592150.t1.2|PACid:30784026|","4","4","179.55",,"1.12054816580542","Condition 1","Condition 2","P-loop containing nucleoside triphosphate hydrolases superfamily protein","5205.93593077889","4645.88322897926","5205.93593077889","5269.67399227958"
"Cre09.g402950.t1.1|PACid:30780580|","4","4","313.59",,"1.7879250342175","Condition 1","Condition 2","Conserved protein of unknown function","4602.58588261867","2574.26110968519","4602.58588261867","2919.90051201206"
"Cre13.g563300.t1.1|PACid:30784105|","4","4","177.43",,"1.82756057668423","Condition 1","Condition 2","PAS domain-containing protein tyrosine kinase family protein","397.674112011259","217.598320452263","397.674112011259","246.814685934959"
"Cre10.g446000.t1.1|PACid:30790153|","4","4","197.25",,"1.72108029442378","Condition 1","Condition 2","None","2573.06921226035","1495.03147563596","2573.06921226035","1695.76549743139"
"Cre01.g013600.t1.1|PACid:30788716|","4","4","148.07",,"1.23358103303635","Condition 2","Condition 1","modifier of snc1","1133.1737935291","1397.86169883134","1133.1737935291","1585.54898521496"
"Cre14.g617151.t1.2|PACid:30776714|","4","4","137.95",,"1.59554628950129","Condition 1","Condition 2","None","658.503113641656","412.713261893192","658.503113641656","468.127207524598"
"Cre07.g355400.t1.1|PACid:30775179|","4","4","284.78",,"1.7195149381522","Condition 1","Condition 2","Protein kinase superfamily protein","4459.41912547546","2593.41691457917","4459.41912547546","2941.62831744233"
"Cre04.g214150.t1.1|PACid:30791074|","4","4","315.19",,"1.10573745884948","Condition 2","Condition 1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","3621.40381110456","4004.32184755858","3621.40381110456","4541.97181822681"
"Cre12.g519350.t1.2|PACid:30792732|","4","4","134.77",,"1.23487586968617","Condition 1","Condition 2","prohibitin 3","32659.5179038818","26447.6120277433","32659.5179038818","29998.6647083939"
"Cre11.g478950.t1.2|PACid:30775827|;Cre11.g478966.t1.1|PACid:30775887|","3","3","199.78",,"1.34708154337307","Condition 1","Condition 2","U3 ribonucleoprotein (Utp) family protein","2872.63427445324","2132.4872934271","2872.63427445324","2418.8108644109"
"Cre12.g496950.t1.1|PACid:30793602|","3","2","126.67",,"1.17108713145358","Condition 1","Condition 2","WD-40 repeat family protein / notchless protein, putative","4126.42437599434","3523.58442439079","4126.42437599434","3996.6870206708"
"Cre12.g522450.t1.2|PACid:30792584|","3","3","253.77",,"1.21161694084474","Condition 1","Condition 2","transducin family protein / WD-40 repeat family protein","2928.47430018254","2416.99682586215","2928.47430018254","2741.52075825342"
"Cre02.g077550.t1.2|PACid:30786064|;Cre10.g420200.t1.2|PACid:30790699|","3","2","134.43",,"1.52769536788874","Condition 2","Condition 1","None","2375.11197230302","3628.4475583044","2375.11197230302","4115.6298572205"
"Cre06.g301850.t1.1|PACid:30779549|","3","3","176.56",,"1.25189814252136","Condition 1","Condition 2","None","1745.31300816416","1394.13339542867","1745.31300816416","1581.3200921266"
"Cre16.g649050.t1.1|PACid:30776840|","3","3","159.33",,"1.00812355606116","Condition 2","Condition 1","Similar to guanylate cyclase soluble, beta-2 chain(GCS-beta-2) [Bos taurus]","1126.92400189008","1136.0786321961","1126.92400189008","1288.61698114262"
"Cre17.g734000.t1.2|PACid:30782576|","3","3","147.42",,"1.09450654901457","Condition 1","Condition 2","Coiled-coil domain-containing protein 55 (DUF2040)","2791.12701096418","2550.12362737998","2791.12701096418","2892.52215218816"
"Cre06.g296983.t1.1|PACid:30779984|","3","3","232.08",,"1.15995813265627","Condition 2","Condition 1","SUMO-activating enzyme 2","3020.35483451146","3503.48515379925","3020.35483451146","3973.88907283618"
"Cre06.g273700.t1.2|PACid:30778394|","3","3","140.71",,"1.2951771107911","Condition 2","Condition 1","photosystem II stability/assembly factor, chloroplast (HCF136)","813.363561669989","1053.44986782649","813.363561669989","1194.89386561171"
"Cre09.g390208.t1.1|PACid:30781416|","3","3","162.35",,"1.17333101618993","Condition 1","Condition 2","None","1106.26683869411","942.842917667354","1106.26683869411","1069.4360054177"
"Cre17.g700166.t1.1|PACid:30782293|","3","3","94.35",,"1.36445426327503","Condition 1","Condition 2","with no lysine (K) kinase 6","5021.27761390186","3680.06297393181","5021.27761390186","4174.17554163114"
"Cre05.g230600.t1.1|PACid:30783444|","3","2","145.16",,"1.39061083456265","Condition 2","Condition 1","Regulator of chromosome condensation (RCC1) family protein","1720.20910941448","2392.14142526514","1720.20910941448","2713.32808709958"
"Cre06.g278185.t1.1|PACid:30779965|;Cre07.g357200.t1.2|PACid:30774593|","3","3","274.19",,"2.04770857551005","Condition 2","Condition 1","UDP-glucose dehydrogenase 1","1903.0600088042","3896.9122997386","1903.0600088042","4420.1406673406"
"Cre12.g500550.t1.2|PACid:30793388|","3","3","254.17",,"1.0928015602147","Condition 1","Condition 2","Zinc finger (C3HC4-type RING finger) family protein","4778.89195073168","4373.06472164331","4778.89195073168","4960.22484733483"
"Cre03.g159900.t1.1|PACid:30787817|","3","3","131.07",,"1.17683270326627","Condition 1","Condition 2","protein serine/threonine kinases;ATP binding;catalytics","3089.48575599353","2625.25484499093","3089.48575599353","2977.74104468703"
"Cre03.g158150.t1.1|PACid:30788125|","3","3","239.19",,"1.4967478876663","Condition 1","Condition 2","RNA recognition motif (RRM)-containing protein","2352.63579886129","1571.83171477829","2352.63579886129","1782.87750667965"
"Cre15.g636300.t1.2|PACid:30783533|","3","3","117.94",,"1.73198416907358","Condition 1","Condition 2","tubulin folding cofactor B","8249.51482590005","4763.04285755258","8249.51482590005","5402.56434212456"
"Cre09.g397549.t1.1|PACid:30781164|","3","3","245.68",,"1.05592848005806","Condition 2","Condition 1","Kinase-related protein of unknown function (DUF1296)","24742.1557958156","26125.9469628354","24742.1557958156","29633.8105045266"
"Cre06.g307600.t1.2|PACid:30779514|","3","3","191.46",,"1.00326397513543","Condition 1","Condition 2","NAP1-related protein 1","2833.38301021102","2824.16500585356","2833.38301021102","3203.35836002542"
"Cre12.g560450.t1.1|PACid:30791824|","3","3","186.33",,"1.6035602953713","Condition 1","Condition 2","None","2966.0248428154","1849.64971468604","2966.0248428154","2097.99741317431"
"Cre17.g705550.t1.2|PACid:30782312|","3","3","221.93",,"1.12629681993665","Condition 1","Condition 2","THO complex, subunit 5","2203.6304423831","1956.52727005573","2203.6304423831","2219.22514235548"
"Cre09.g400050.t1.1|PACid:30780669|","3","3","248.9",,"1.27915156758563","Condition 2","Condition 1","None","3328.78222208672","4258.01699753339","3328.78222208672","4829.72996192071"
"Cre06.g298300.t1.1|PACid:30778826|","3","2","166.41",,"1.18912615793923","Condition 2","Condition 1","Pentatricopeptide repeat (PPR) superfamily protein","1325.87252080409","1576.62969658097","1325.87252080409","1788.31970112899"
"gi|41179010|ref|NP_958365.1|","3","3","167.49",,"1.48586023451111","Condition 2","Condition 1","cytochrome b6 (chloroplast) [Chlamydomonas reinhardtii]","726.257534018264","1079.11718981184","726.257534018264","1224.00747274543"
"Cre06.g264800.t1.2|PACid:30779004|;Cre01.g062172.t1.1|PACid:30789439|","3","3","117.46",,"2.0317710804944","Condition 2","Condition 1","Histone superfamily protein","288.945991249118","587.072108844747","288.945991249118","665.896767330417"
"Cre12.g533050.t1.2|PACid:30793617|","3","3","239.35",,"1.21126941350233","Condition 2","Condition 1","GTP-binding family protein","1135.19346804625","1375.02512625206","1135.19346804625","1559.64620491192"
"Cre09.g407850.t1.2|PACid:30780215|","3","3","124.55",,"1.59296056592886","Condition 1","Condition 2","None","3374.60439609782","2118.44817020318","3374.60439609782","2402.88674430689"
"Cre01.g015600.t1.1|PACid:30789658|","3","3","268.46",,"1.04544346205203","Condition 2","Condition 1","ILITYHIA","2758.60410220731","2883.96462304255","2758.60410220731","3271.18711764108"
"Cre16.g659900.t1.1|PACid:30777519|","3","2","232.87",,"1.03345888003867","Condition 1","Condition 2","None","3681.22810075306","3562.04602994491","3681.22810075306","4040.31276684229"
